Report on the BioLiP file

Number of proteins without metal ligands: 24013
Ligand;Size;Num of occurrences
"006";15;1
"017";8;2
"017";9;2
"017";10;2
"017";11;1
"017";12;1
"017";13;1
"01B";2;1
"01B";11;1
"01K";22;2
"028";9;1
"03C";16;1
"03G";15;1
"03Q";22;1
"03S";6;3
"03S";8;1
"03V";10;1
"046";22;1
"04A";7;1
"04C";16;1
"05B";18;1
"05D";11;1
"05E";2;1
"05J";14;1
"05X";14;1
"05Y";10;1
"061";14;1
"063";23;1
"06O";4;1
"074";16;1
"07D";2;3
"07D";4;1
"07D";5;1
"07D";6;1
"07D";7;4
"07D";8;2
"07D";9;1
"07D";21;1
"07D";23;1
"08G";14;1
"08I";6;1
"08I";21;1
"08J";10;1
"08N";12;1
"08T";17;1
"08T";18;1
"08Y";18;1
"093";11;1
"097";12;1
"09C";7;1
"09N";3;1
"0BE";4;1
"0BJ";11;1
"0BJ";15;1
"0CE";17;1
"0CK";15;1
"0CU";9;1
"0D8";4;1
"0ET";6;1
"0ET";9;1
"0ET";11;1
"0FP";15;1
"0FQ";5;3
"0FQ";7;1
"0FQ";10;2
"0FU";3;1
"0FU";6;1
"0FV";9;1
"0FV";17;1
"0FX";10;1
"0FX";11;2
"0FX";12;2
"0FX";14;1
"0FX";16;1
"0G";10;1
"0G6";12;1
"0G6";13;1
"0G6";15;2
"0G6";16;3
"0G6";17;1
"0G6";18;1
"0GA";10;1
"0GA";12;1
"0GJ";14;4
"0GR";16;1
"0GV";15;1
"0GY";13;1
"0GZ";13;1
"0H0";4;1
"0HK";14;1
"0HK";15;1
"0HK";16;1
"0HZ";12;1
"0IE";15;1
"0J1";19;1
"0J1";23;1
"0JH";17;1
"0JN";7;1
"0JO";2;1
"0JO";15;1
"0JO";20;1
"0JP";7;1
"0K3";17;1
"0K3";22;1
"0KA";11;1
"0KI";13;1
"0KX";13;1
"0L1";2;1
"0L1";8;1
"0LA";10;1
"0LI";17;1
"0LI";20;1
"0LI";25;1
"0M6";13;1
"0M9";9;1
"0MK";3;1
"0MK";4;1
"0MK";12;2
"0MO";12;1
"0MR";6;1
"0MR";10;1
"0MT";11;1
"0MV";10;1
"0MX";21;1
"0N5";16;1
"0NG";9;1
"0NI";7;1
"0O2";6;1
"0O2";7;1
"0O2";17;1
"0O2";20;1
"0OR";14;1
"0OU";16;1
"0P4";14;1
"0P5";17;1
"0P6";5;1
"0P6";9;1
"0PA";6;2
"0PA";8;1
"0PR";5;1
"0Q4";12;1
"0RC";20;1
"0RE";10;1
"0RP";21;1
"0S1";4;1
"0SA";9;1
"0SA";11;1
"0SH";18;1
"0SM";9;1
"0SY";12;1
"0T2";21;1
"0T3";10;1
"0TE";4;1
"0TL";14;1
"0U5";15;1
"0U8";7;1
"0UE";19;1
"0UR";16;1
"0UV";23;1
"0V1";6;1
"0V5";6;2
"0V5";7;1
"0V9";2;1
"0V9";3;1
"0V9";5;1
"0V9";8;1
"0VD";12;1
"0VJ";5;1
"0VJ";6;1
"0VM";16;1
"0VS";11;1
"0WD";15;1
"0WE";13;1
"0WT";15;1
"0X1";10;1
"0X1";14;1
"0XT";10;1
"0XV";11;1
"0XY";11;1
"0YN";11;1
"0YR";13;1
"0Z9";10;1
"10K";11;1
"10M";3;1
"10M";6;1
"10X";14;1
"10Y";9;1
"10Y";13;1
"118";7;1
"11A";4;1
"11A";9;2
"11A";11;1
"11D";18;1
"11D";21;1
"11G";12;1
"128";8;1
"128";9;1
"12H";11;1
"12M";4;1
"12V";20;1
"137";18;1
"13A";17;1
"13Q";9;1
"13X";8;1
"13X";11;1
"140";17;1
"142";2;1
"142";3;1
"142";5;1
"142";10;1
"14C";9;1
"152";8;1
"152";9;1
"15L";9;1
"15S";14;1
"168";13;1
"16A";5;3
"16A";14;1
"16A";15;1
"16A";17;1
"16A";20;1
"16C";9;1
"16D";5;2
"16D";7;1
"16G";3;1
"16G";5;1
"16G";6;2
"16G";8;1
"16G";10;1
"16X";13;1
"173";4;1
"173";6;1
"173";9;1
"173";14;1
"174";10;1
"17F";2;3
"17F";3;2
"17F";4;1
"17G";14;1
"188";12;1
"18C";4;1
"18C";14;1
"18I";15;1
"18R";23;1
"18W";19;1
"19H";14;1
"19Y";13;1
"19Y";14;1
"1AC";7;1
"1AC";9;2
"1AK";15;1
"1AL";2;1
"1AL";13;1
"1BH";19;1
"1BN";12;1
"1BO";2;2
"1BO";3;4
"1BO";5;3
"1BO";6;2
"1BO";7;1
"1BX";4;1
"1CA";17;1
"1CL";8;1
"1CP";22;1
"1CS";6;2
"1CY";10;1
"1D8";14;1
"1DA";6;1
"1DA";11;1
"1DF";2;1
"1DF";12;1
"1DI";15;1
"1DY";20;1
"1EG";16;1
"1EO";11;1
"1ET";12;1
"1EU";14;1
"1EY";12;1
"1FN";21;1
"1FR";17;1
"1FV";16;1
"1FV";18;2
"1GN";2;1
"1GN";3;3
"1GP";9;2
"1GP";11;1
"1GP";12;2
"1GP";13;1
"1GP";14;2
"1GZ";23;1
"1HA";4;1
"1HA";23;1
"1HS";9;1
"1IB";14;1
"1IX";15;1
"1JB";18;1
"1JJ";9;1
"1JT";14;1
"1JW";7;1
"1JW";8;1
"1JW";9;1
"1K1";18;1
"1KA";7;1
"1KG";18;1
"1KH";11;1
"1KP";4;1
"1KQ";19;1
"1L0";7;1
"1L3";9;1
"1L3";12;1
"1L7";12;1
"1LD";10;1
"1LG";19;1
"1M4";11;1
"1MZ";3;1
"1N0";2;1
"1N1";5;1
"1N1";8;1
"1N1";16;1
"1N1";17;2
"1N1";18;1
"1N1";19;1
"1N7";2;1
"1N7";3;1
"1N7";5;1
"1N7";10;1
"1NB";9;1
"1O4";9;1
"1PC";8;1
"1PE";6;1
"1PE";10;1
"1PL";7;1
"1PN";11;1
"1PS";2;1
"1PS";3;3
"1PS";4;4
"1PS";5;3
"1PS";6;2
"1PS";7;1
"1PS";8;1
"1PS";9;2
"1PS";10;1
"1PS";11;1
"1PV";17;1
"1PW";12;1
"1PW";13;1
"1PZ";3;1
"1PZ";20;1
"1Q0";15;1
"1Q5";14;1
"1Q9";15;1
"1QA";19;1
"1QW";2;1
"1QY";19;1
"1RG";5;1
"1RG";6;1
"1RL";2;1
"1RY";12;1
"1S6";3;1
"1S6";12;1
"1S6";13;1
"1S6";14;1
"1SA";6;1
"1SA";7;1
"1SI";14;1
"1SY";6;1
"1SY";8;2
"1SY";9;2
"1T4";4;1
"1UD";16;1
"1V2";21;1
"1V7";19;1
"1VL";12;1
"1VU";2;1
"1VU";15;1
"1VU";21;1
"1VU";23;1
"1VU";25;1
"1WE";11;1
"1WG";9;1
"1WV";5;3
"1X7";9;1
"1XE";22;1
"1XF";8;1
"1XG";2;1
"1XG";13;1
"1XI";15;1
"1XJ";22;1
"1XK";18;1
"1XL";11;1
"1Y8";7;1
"1YA";16;1
"1YI";19;1
"1YJ";18;1
"1YN";20;1
"1YN";21;1
"1YN";22;1
"1YO";9;1
"1ZZ";18;1
"1ZZ";21;2
"20L";11;1
"210";8;1
"210";10;1
"211";4;1
"211";7;1
"211";11;1
"212";10;1
"218";13;1
"21D";2;1
"21D";5;1
"21D";8;1
"21H";7;1
"223";2;1
"223";11;1
"22B";7;1
"22B";8;2
"22B";10;1
"22E";11;1
"22H";14;1
"22N";10;1
"23D";15;1
"23J";2;1
"23J";9;1
"242";22;1
"245";9;2
"24K";10;1
"250";8;1
"25L";5;1
"25L";13;1
"25L";14;1
"25W";9;1
"26A";11;1
"26A";14;1
"26T";12;1
"27L";4;1
"27Q";12;1
"283";14;1
"289";2;15
"289";3;6
"289";4;6
"289";5;3
"289";6;1
"289";7;1
"28U";8;1
"28Y";5;1
"29N";3;1
"29P";17;1
"29X";22;1
"2A1";9;1
"2AD";10;1
"2AG";3;2
"2AL";11;1
"2AL";12;2
"2AM";11;1
"2AN";3;1
"2AN";4;1
"2AN";7;1
"2AN";11;2
"2AN";12;1
"2AN";13;1
"2AS";9;1
"2AS";11;2
"2B8";15;1
"2BA";3;1
"2BA";4;1
"2BA";5;2
"2BA";7;4
"2BA";8;4
"2BA";9;1
"2BA";10;3
"2BA";12;3
"2BA";13;2
"2BA";18;1
"2BA";19;2
"2BG";10;1
"2BK";5;1
"2BK";15;1
"2C2";8;1
"2CC";15;1
"2CP";2;1
"2CP";13;1
"2CR";16;1
"2CU";7;1
"2CU";13;1
"2CV";4;1
"2CV";5;2
"2CV";6;1
"2CV";8;2
"2CV";9;1
"2CW";19;1
"2CX";14;1
"2DA";4;1
"2DE";2;1
"2DG";9;1
"2EC";7;1
"2ED";12;1
"2EH";2;1
"2EH";4;1
"2EH";7;1
"2EL";2;1
"2EL";17;1
"2ER";28;1
"2F0";4;1
"2F0";7;1
"2F8";4;1
"2FG";11;1
"2FP";12;1
"2FP";16;1
"2FP";17;4
"2FT";2;1
"2FT";9;1
"2GE";12;1
"2GI";19;1
"2GJ";15;1
"2GJ";16;1
"2GO";23;1
"2GP";11;1
"2GP";12;1
"2GP";14;1
"2H3";10;1
"2HA";9;1
"2HA";10;1
"2HD";12;1
"2HE";2;2
"2HE";7;1
"2HE";8;1
"2HE";9;1
"2HI";12;1
"2HP";2;1
"2HP";3;14
"2HP";4;4
"2HP";5;3
"2HP";6;1
"2HP";7;1
"2HP";8;2
"2ID";15;1
"2IP";6;1
"2IP";13;1
"2J6";4;1
"2JT";8;1
"2K0";14;1
"2K3";9;1
"2KH";9;2
"2KH";10;1
"2KH";11;1
"2KH";12;1
"2KH";13;2
"2KH";14;1
"2KH";15;2
"2KT";3;1
"2KV";13;1
"2LJ";2;1
"2LJ";11;1
"2LJ";13;1
"2LK";3;1
"2LK";5;1
"2LK";11;1
"2LK";12;1
"2LL";6;1
"2LL";11;1
"2LN";10;1
"2LO";11;2
"2LT";10;1
"2LW";6;1
"2LX";8;1
"2LY";7;1
"2M8";14;1
"2M9";6;1
"2M9";10;1
"2MD";24;1
"2MD";25;1
"2MD";28;1
"2ML";8;1
"2MM";2;1
"2MM";7;1
"2MO";2;1
"2MO";6;1
"2MO";7;1
"2MR";5;1
"2MR";6;1
"2MR";8;1
"2MV";16;1
"2NC";25;1
"2NE";2;1
"2NE";3;2
"2NE";18;1
"2NE";19;1
"2NF";16;1
"2NG";9;1
"2NG";10;1
"2NG";11;1
"2NG";13;1
"2NG";14;4
"2NL";15;1
"2NR";13;1
"2NV";2;1
"2NV";7;1
"2OB";12;1
"2OB";28;1
"2OE";5;1
"2OH";14;1
"2OW";13;1
"2OW";17;1
"2OX";11;1
"2OY";4;1
"2OY";12;1
"2P2";14;1
"2PG";4;1
"2PG";10;1
"2PG";13;1
"2PG";14;1
"2PG";15;5
"2PG";16;1
"2PN";2;1
"2PN";3;1
"2PN";4;1
"2PN";7;1
"2PN";8;1
"2PN";9;1
"2PN";10;1
"2PN";11;1
"2PO";2;1
"2PO";5;1
"2Q2";12;1
"2Q5";5;1
"2QC";7;1
"2QJ";13;1
"2QV";12;1
"2R2";15;1
"2R4";13;1
"2RA";3;1
"2RA";8;1
"2S1";16;1
"2SA";2;1
"2SA";5;1
"2SA";11;1
"2SU";9;1
"2TM";6;1
"2TQ";12;1
"2TT";14;1
"2TT";17;1
"2U4";15;1
"2UF";13;1
"2UO";12;1
"2V4";11;1
"2V6";15;1
"2V9";15;1
"2V9";17;1
"2VJ";3;1
"2VJ";12;1
"2VK";15;1
"2W2";19;1
"2WA";2;1
"2XK";11;1
"2XQ";18;1
"2Y5";35;1
"2YC";12;1
"2YP";17;1
"2Z0";14;1
"2ZV";3;1
"2ZW";18;1
"308";3;1
"30J";6;1
"30J";7;1
"30N";21;1
"30Q";15;1
"30T";3;1
"30T";10;1
